Date,Promotion,Event Name,Location 1,Location 2
Nov 24th 2015,WWE,Smackdown Taping,Indianapolis,Indiana
Nov 24th 2015,WWE,Main Event Taping,Indianapolis,Indiana
Nov 23rd 2015,WWE,Monday Night Raw,Nashville,Tennessee
Nov 23rd 2015,WWE,Superstars Taping,Nashville,Tennessee
Nov 22nd 2015,WWE,Survivor Series '15,Atlanta,Georgia
Nov 17th 2015,WWE,Smackdown Taping,Knoxville,Tennessee
Nov 17th 2015,WWE,Main Event Taping,Knoxville,Tennessee
Nov 16th 2015,WWE,Monday Night Raw,Greenville,South Carolina
Nov 16th 2015,WWE,Superstars Taping,Greenville,South Carolina
Nov 14th 2015,WWE,WWE Live,Minehead,England
Nov 14th 2015,WWE,WWE Live,Stuttgart,Baden-Württemberg
Nov 13th 2015,WWE,WWE Live,Leipzig,Sachsen-Anhalt
Nov 13th 2015,WWE,WWE Live,Nottingham,England
Nov 12th 2015,WWE,WWE Live,Newcastle-upon-Tyne,England
Nov 12th 2015,WWE,WWE Live,Bologna,Emilia-Romagna
Nov 11th 2015,WWE,WWE Live,Rome,Lazio
Nov 11th 2015,WWE,WWE Live,Brighton,England
Nov 10th 2015,WWE,WWE Live,Belfast,Northern Ireland
Nov 10th 2015,WWE,Smackdown Taping,Manchester,England
Nov 10th 2015,WWE,Main Event Taping,Manchester,England
Nov 9th 2015,WWE,Monday Night Raw Taping,Manchester,England
Nov 9th 2015,WWE,Superstars Taping,Manchester,England
Nov 8th 2015,WWE,WWE Live,Birmingham,England
Nov 8th 2015,WWE,WWE Live,Liverpool,England
Nov 7th 2015,WWE,WWE Live,Leeds,England
Nov 7th 2015,WWE,WWE Live,Madrid,Madrid
Nov 6th 2015,WWE,WWE Live,Barcelona,Catalonia
Nov 6th 2015,WWE,WWE Live,London,England
Nov 5th 2015,WWE,WWE Live,Cardiff,Wales
Nov 5th 2015,WWE,WWE Live,Glasgow,Scotland
Nov 4th 2015,WWE,WWE Live,Dublin,Leinster
Nov 3rd 2015,WWE,Smackdown Taping,Colorado Springs,Colorado
